,.SPX,.GDAXI,.FCHI,.FTSE,.OMXSPI,.N225,.KS11,.HSI
0,0.005256324,0.0053219,0.005243832,0.004577117,0.0053032,0.006351643,0.004161925,0.00338236
1,0.005143525,0.004198261,0.004752107,0.003603726,0.004505944,0.005755235,0.004880123,0.003168805
2,0.004796844,0.004632702,0.005408694,0.005984531,0.005041767,0.005429525,0.005315685,0.004018093
3,0.005759701,0.007075853,0.007345332,0.005245228,0.005927252,0.008043426,0.006044461,0.005876159
4,0.005092894,0.005453062,0.005684566,0.005473464,0.00539302,0.00803513,0.004903797,0.005339102
5,0.004733837,0.006047414,0.006055061,0.004594275,0.005031177,0.009304272,0.004905909,0.005409851
6,0.004367599,0.007696935,0.007628637,0.007800441,0.008601509,0.008274767,0.006123657,0.006865765
7,0.005074668,0.005724104,0.004664137,0.005289505,0.005105338,0.007392238,0.006743367,0.004874384
8,0.004425255,0.004527794,0.005034291,0.003792472,0.004737841,0.005801236,0.00461239,0.009343078
9,0.006332604,0.005384801,0.00519127,0.005077745,0.005962674,0.008207396,0.004439714,0.007133944
10,0.004981642,0.005420703,0.005240397,0.004324359,0.006642965,0.008380498,0.006801302,0.005802739
11,0.003984305,0.005740567,0.004734656,0.004592271,0.006298992,0.010764612,0.004618927,0.00613451
12,0.003981427,0.004716746,0.004494405,0.004967596,0.00467046,0.007292694,0.004989157,0.00491946
13,0.00606833,0.00621094,0.005367828,0.00612392,0.005603106,0.007419819,0.003721753,0.00697184
14,0.003780399,0.004573665,0.003357036,0.006310397,0.008302296,0.007014392,0.003150103,0.006589573
15,0.00452929,0.004052674,0.004121046,0.004636121,0.005567166,0.006139861,0.00425903,0.00785344
16,0.004863987,0.00511259,0.005858573,0.006069369,0.005965131,0.009427026,0.004879297,0.005100947
17,0.004120997,0.005768584,0.005859681,0.005847987,0.006637844,0.010533751,0.005888287,0.007120852
18,0.002814095,0.003440061,0.004354331,0.003889858,0.0042408,0.007451239,0.004062407,0.004995445
19,0.003520746,0.005770875,0.005713222,0.006700205,0.006107595,0.008047706,0.005163872,0.003342164
20,0.005402732,0.010231891,0.00879325,0.006718437,0.00716117,0.00891228,0.005348317,0.004481337
21,0.006152185,0.007988238,0.008175551,0.007392914,0.008584131,0.008366218,0.005531828,0.007565947
22,0.006330273,0.012164175,0.011200269,0.008249147,0.0128674,0.00701822,0.004798161,0.007547242
23,0.006428245,0.006059937,0.005958406,0.004964286,0.009791379,0.006587496,0.00507989,0.006474633
24,0.007157808,0.008039243,0.007900511,0.006902078,0.007447106,0.006167686,0.004633932,0.004227732
25,0.007572199,0.011556778,0.010790888,0.009915077,0.010187155,0.006817819,0.00472722,0.006417259
26,0.00482458,0.006809363,0.00681513,0.006743691,0.009053471,0.007304852,0.004083205,0.006592296
27,0.004674002,0.008881308,0.009540677,0.006570214,0.008696758,0.006922094,0.004793829,0.005690144
28,0.003128978,0.006246923,0.006124771,0.004662673,0.005479473,0.006237405,0.006296576,0.009206398
29,0.004839293,0.007291712,0.006693348,0.005280563,0.005531255,0.006949224,0.005165164,0.006662467
30,0.004592995,0.008897878,0.008105139,0.006260667,0.008250453,0.007345058,0.006866982,0.006303683
31,0.002940477,0.004734069,0.00482648,0.005210357,0.006818609,0.006417764,0.005033503,0.006034613
32,0.004978702,0.00524242,0.005247649,0.004081101,0.005631583,0.004762518,0.006701761,0.005802753
33,0.005127066,0.005072962,0.00582695,0.004866298,0.006064369,0.005624748,0.008214371,0.006786571
34,0.004478715,0.004079287,0.004297471,0.005908013,0.005506782,0.004349545,0.008667333,0.005303179
35,0.004444788,0.005916757,0.007523348,0.004923545,0.006100005,0.004995043,0.007112349,0.006150829
36,0.003547355,0.003715077,0.003458006,0.003713394,0.004028681,0.003792157,0.005405173,0.005511278
37,0.005503425,0.007224411,0.00670855,0.006919275,0.007323912,0.005532804,0.005196198,0.009110116
38,0.002684574,0.00392041,0.003386742,0.00569213,0.00762736,0.006782256,0.00646405,0.004202997
39,0.004423963,0.004229236,0.003942117,0.004190201,0.004088728,0.005419405,0.005597378,0.00469136
40,0.004602792,0.007613971,0.005212153,0.002933536,0.004178654,0.004746527,0.005685426,0.003569768
41,0.004602326,0.005217044,0.005129366,0.004996867,0.004676068,0.003920611,0.006152618,0.005159338
42,0.003306628,0.003615503,0.004092171,0.003553786,0.004150502,0.005038205,0.005113646,0.00864105
43,0.006503753,0.006265195,0.005996636,0.008210744,0.008026581,0.003281975,0.009636074,0.011516431
44,0.006293529,0.007630449,0.006786617,0.006868312,0.005368922,0.009946096,0.009392439,0.013119627
45,0.005580446,0.006368242,0.005044169,0.005136882,0.00579562,0.007549713,0.007060475,0.01035853
46,0.005338352,0.00767337,0.00615516,0.007373787,0.006909576,0.008292753,0.009223252,0.00774132
47,0.003895477,0.006771799,0.007216072,0.00878415,0.007710466,0.009580585,0.009809457,0.010228175
48,0.003603706,0.007381397,0.005707686,0.005555146,0.005205182,0.009313694,0.005984823,0.007730312
