DATE,SYM_ROOT,symbol,CPrc,OPrc,price_low_m,price_high_m,avg_price_m,total_vol_m,ivol_t,var_ratio3
2023-01-03,DIA,DIA,331.22,332.48,328.34,333.8276,330.52113404,3797364,9.240923E-9,0.0322924026
2023-01-04,DIA,DIA,332.56,332.63,330.2,334.07,332.07520457,4002085,5.6726544E-9,0.2104064303
2023-01-05,DIA,DIA,329.22,330.97,328.07,332.56,329.43702552,4291963,4.889088E-9,0.0982469871
2023-01-06,DIA,DIA,336.28,332.14,328.58,337.13,334.33466351,4620402,3.4847398E-8,0.021377326
2023-01-09,DIA,DIA,335.29,337.69,334.92,339.41,337.27944953,3749288,4.6459093E-9,0.1487318722
2023-01-10,DIA,DIA,337.23,335.07,334.2,337.35,335.92917987,2206611,6.5062587E-9,0.1441495688
2023-01-11,DIA,DIA,339.76,338.47,336.02,339.806,338.47301682,3018250,5.0384777E-9,0.1364969712
2023-01-12,DIA,DIA,342,340.88,337.95,343.01,341.12650413,4052860,7.163738E-9,0.2722079325
2023-01-13,DIA,DIA,343.04,339.21,339.09,343.74,341.84405711,3251806,2.9030933E-9,0.0537051855
2023-01-17,DIA,DIA,339.16,342.39,338.6304,343.0678,340.16085486,3726548,1.8961177E-8,0.2056235911
2023-01-18,DIA,DIA,332.97,339.79,332.7,340.2,336.18517677,4705647,7.4141412E-8,0.3962117671
2023-01-19,DIA,DIA,330.63,331.06,329.965,333.1511,331.18332835,3237982,4.7427635E-9,0.1136260594
2023-01-20,DIA,DIA,333.67,330.84,329.32,333.73,331.58450265,3569885,3.2423253E-8,0.3561369452
2023-01-23,DIA,DIA,336.17,334.69,333.05,337.75,335.73769951,3774543,2.978689E-8,0.1643807982
2023-01-24,DIA,DIA,337.1,334.81,333.7,337.72,336.03088562,3201484,9.0114244E-9,0.1651562192
2023-01-25,DIA,DIA,337.32,334.17,332.53,337.64,335.26960931,4136749,1.2373262E-8,0.048411408
2023-01-26,DIA,DIA,339.36,338.38,336.2,339.46,337.89102701,2763840,9.5145737E-9,0.0563955493
2023-01-27,DIA,DIA,339.61,339.4,338.16,345.5069,340.00625109,3097340,2.4361335E-8,0.1537827538
2023-01-30,DIA,DIA,337.06,338.38,336.835,340.45,338.48806716,2947846,1.2555864E-8,0.1782351018
2023-01-31,DIA,DIA,340.83,337.6,335.29,340.86,338.52636375,2490126,1.7879556E-8,0.0839668801
2023-02-01,DIA,DIA,340.87,339.16,335.58,343.2899,339.26284893,6019541,8.8005613E-9,0.2862241342
2023-02-02,DIA,DIA,340.43,341.51,338.01,341.51,339.52055197,4941670,1.2460674E-8,0.001490368
2023-02-03,DIA,DIA,338.98,338.69,337.96,341.69,339.59218802,6328687,4.0345243E-9,0.119360794
2023-02-06,DIA,DIA,338.48,337.67,336.69,339.56,338.26628357,2457808,6.1068359E-9,0.1717231035
2023-02-07,DIA,DIA,341.52,336.95,336.181,342.32,339.18008759,4734243,7.4588188E-9,0.0570721206
2023-02-08,DIA,DIA,339.42,340.37,338.38,341.52,340.00130777,2710834,1.4805129E-8,0.0854143627
2023-02-09,DIA,DIA,337.08,341.75,336.0604,342.56,339.37081383,3335183,7.684033E-9,0.0532627667
2023-02-10,DIA,DIA,338.73,336.68,335.921,339.02,337.77504174,2469625,9.526553E-9,0.368360432
2023-02-13,DIA,DIA,342.55,338.88,338.7335,342.56,341.42330647,2634445,1.6519258E-8,0.1422938659
2023-02-14,DIA,DIA,341.14,341.52,338.41,343.54,340.99407006,3295750,1.5900199E-8,0.1201781055
2023-02-15,DIA,DIA,341.66,339.47,338.63,341.67,340.17178167,1875952,4.5294693E-9,0.1700081436
2023-02-16,DIA,DIA,337.39,338.5,337.31,341.7309,339.03943806,3068965,9.1840531E-9,0.2493766319
2023-02-17,DIA,DIA,338.29,335.72,335.07,338.44,336.86555533,2875623,1.1756632E-8,0.0050379471
2023-02-21,DIA,DIA,331.25,334.72,315.93,338.29,332.81690155,2934897,2.4325017E-7,0.0123691072
2023-02-22,DIA,DIA,330.52,331.8,329.44,332.44,331.08649677,2727588,9.0354565E-9,0.2375070997
2023-02-23,DIA,DIA,331.67,332.05,327.98,332.75,330.47130707,5811110,9.4110576E-9,0.0506560819
2023-02-24,DIA,DIA,328.12,327.83,326.42,331.67,327.68819351,3661833,7.48545E-9,0.1102748727
2023-02-27,DIA,DIA,329.06,330.73,328.12,331.9959,329.73966098,2825679,2.2710461E-8,0.0887575984
2023-02-28,DIA,DIA,326.56,328.87,326.51,329.06,327.48927644,3073946,2.7074099E-9,0.1825182108
2023-03-01,DIA,DIA,327,326.08,325.3,327.84,326.74799422,3076567,2.439283E-9,0.1743970344
2023-03-02,DIA,DIA,330.44,327.55,325.39,331.2,328.84245354,2919086,4.584508E-9,0.2048475054
2023-03-03,DIA,DIA,334.21,331.52,330.36,334.4399,332.78500369,2946209,1.2522003E-8,0.0530081513
2023-03-06,DIA,DIA,334.68,334.67,334.18,336.12,334.93865034,2584694,2.398131E-9,0.1869942955
2023-03-07,DIA,DIA,328.87,334.67,328.72,334.93,330.90752494,4895806,3.4333932E-8,0.1533016097
2023-03-08,DIA,DIA,328.49,328.91,326.59,329.51,328.0542538,3132881,5.8800398E-9,0.1512654902
2023-03-09,DIA,DIA,323.08,329.68,322.39,330.44,326.23777971,4701924,4.2098852E-8,0.2110606382
2023-03-10,DIA,DIA,319.73,322.54,318.43,328.13,321.35127027,7454622,1.6117777E-8,0.1563433348
2023-03-13,DIA,DIA,318.82,316.88,316.66,323.19,320.327585,6623965,1.1441855E-8,0.0504973774
2023-03-14,DIA,DIA,322.19,322.24,318.7,323.72,321.52070882,4534734,6.9174591E-9,0.1186719826
2023-03-15,DIA,DIA,319.54,316.91,314.95,319.8071,317.43156423,6237522,3.8648755E-9,0.2542605983
2023-03-16,DIA,DIA,323.25,317.68,316.43,323.58,320.82892738,6317897,1.1562467E-8,0.0065061297
2023-03-17,DIA,DIA,318.5,320.64,317.16,323.25,318.59191969,4992588,2.3620846E-8,0.0494311932
2023-03-20,DIA,DIA,322.3,319.33,318.5203,322.77,321.56208955,4577535,6.8203516E-9,0.2713014797
2023-03-21,DIA,DIA,325.62,325.52,322.3,325.85,324.70122858,3363066,6.0627122E-9,0.0473279402
2023-03-22,DIA,DIA,320.18,325.65,320.05,327.56,324.62192453,4254578,4.8082768E-9,0.0499388363
2023-03-23,DIA,DIA,320.84,321.33,318.4864,325.04,321.78440733,4534595,1.2609748E-8,0.3496663339
2023-03-24,DIA,DIA,322.32,319.45,317.89,322.46,320.07670531,4366740,3.3365556E-9,0.0866059179
2023-03-27,DIA,DIA,324.31,324.55,322.32,336.17,324.39501596,3398295,5.5817449E-8,0.0818243673
2023-03-28,DIA,DIA,323.81,323.99,322.84,325.65,324.08330561,2513394,5.2126303E-9,0.1428115507
2023-03-29,DIA,DIA,327.07,326.58,323.8281,327.17,326.25041199,2427754,1.4330348E-8,0.0405765393
2023-03-30,DIA,DIA,328.48,328.88,326.72,328.95,327.91765444,2405561,1.9346939E-9,0.0944190041
2023-03-31,DIA,DIA,332.62,329.57,326.48,332.81,331.09007356,2704562,1.4174647E-8,0.0770689113
2023-04-03,DIA,DIA,335.91,333.51,332.6196,336.25,335.27925408,3450674,5.2991786E-9,0.1124868994
2023-04-04,DIA,DIA,333.94,335.86,332.6301,336.26,334.15622054,2379756,1.1311073E-8,0.2403444242
2023-04-05,DIA,DIA,334.82,334,333.74,335.5,334.60341978,2491873,2.6555983E-9,0.004551611
2023-04-06,DIA,DIA,334.9,334.35,333.28,335.32,334.37158301,2280641,8.9553863E-9,0.1612057665
2023-04-10,DIA,DIA,335.96,333.93,333.4304,335.96,334.88606601,2773308,4.2824889E-9,0.0155532418
2023-04-11,DIA,DIA,336.9,336.31,335.9013,337.87,337.02950662,2285095,3.0908305E-9,0.0341360939
2023-04-12,DIA,DIA,336.61,338.62,335.96,339.02,337.61600819,3235464,4.4573562E-9,0.0960215489
2023-04-13,DIA,DIA,340.37,337.07,336.0518,340.604,338.77483062,2954186,4.3216063E-8,0.206162744
2023-04-14,DIA,DIA,338.84,339.9,337.3,340.86,338.78934868,2914995,8.4287728E-9,0.0020237246
2023-04-17,DIA,DIA,339.92,339.12,337.97,339.93,339.05195155,2167877,2.4775573E-9,0.2927260302
2023-04-18,DIA,DIA,339.8,339.99,337.9,340.2224,339.32759704,2144451,1.4816349E-9,0.3261048762
2023-04-19,DIA,DIA,338.99,339.11,338.18,342.4,338.8300653,2790929,8.2179258E-9,0.4345713752
2023-04-20,DIA,DIA,337.95,337.43,336.49,338.8561,337.81323126,2081320,2.7843136E-9,0.1574499852
2023-04-21,DIA,DIA,338.11,338.26,336.81,338.59,337.75716101,2291879,2.4856225E-9,0.1510703903
2023-04-24,DIA,DIA,338.75,337.89,337.21,338.91,338.26487026,2224293,4.1480049E-9,0.20028815
2023-04-25,DIA,DIA,335.33,338.22,335.2,338.7624,336.77968879,2595106,2.0582018E-8,0.2315569599
2023-04-26,DIA,DIA,332.95,335.6,332.3,336.46,334.25220915,3187718,3.5639876E-9,0.1459361263
2023-04-27,DIA,DIA,338.2,334.18,332.95,338.58,336.32860357,2965371,2.9437521E-8,0.1238020388
2023-04-28,DIA,DIA,341.03,337.13,337.13,341.04,339.77263746,3460431,6.7082515E-9,0.0444282092
2023-05-01,DIA,DIA,340.36,341.1,340.26,342.74,341.40332556,2253194,2.8991019E-9,0.1430589415
2023-05-02,DIA,DIA,336.87,339.86,334.31,340.05,336.39324857,3180663,1.8127747E-8,0.2026983543
2023-05-03,DIA,DIA,334.11,337.22,333.93,338.23,336.35054008,3791539,4.1142649E-9,0.5486749034
2023-05-04,DIA,DIA,331.33,333.26,329.37,334.1527,331.07640283,3502105,1.6068549E-8,0.030907166
2023-05-05,DIA,DIA,336.73,334.26,331.2842,337.5099,335.91400353,3445720,7.4077795E-8,0.2358133063
2023-05-08,DIA,DIA,336.22,337.2,335.09,337.39,336.11706353,1753820,2.6661833E-9,0.014180242
2023-05-09,DIA,DIA,335.77,335.31,335.14,336.6785,335.99416935,1865321,1.1022322E-9,0.0940158214
2023-05-10,DIA,DIA,335.49,337.35,332.47,337.89,334.94715169,3290836,6.1303038E-9,0.3077734116
2023-05-11,DIA,DIA,333.33,333.68,331.47,335.5193,332.60657396,2654085,1.0876261E-8,0.3627101915
2023-05-12,DIA,DIA,333.2,334.45,331.3,334.45,332.6786839,2563652,1.2279212E-8,0.1402548131
2023-05-15,DIA,DIA,333.77,333.5,331.31,334.268,333.06251741,2139658,6.7654625E-9,0.3064113968
2023-05-16,DIA,DIA,330.35,332.71,330.28,333.7795,331.46185247,2144235,9.5642936E-9,0.1323294912
2023-05-17,DIA,DIA,334.61,332.14,330.35,335.17,333.33581672,2953412,1.9045762E-8,0.0956133586
2023-05-18,DIA,DIA,336.06,333.83,329.5,336.4399,334.43499852,3452963,1.0415389E-8,0.1196685309
2023-05-19,DIA,DIA,334.19,335.95,332,336.45,334.64790109,3564361,1.3802231E-8,0.141032786
2023-05-22,DIA,DIA,332.9,334.11,332,335.15,333.34439496,2477958,3.0424904E-9,0.1311860965
2023-05-23,DIA,DIA,330.61,331.77,330,333.1,331.78512732,2442044,4.8551262E-9,0.030034638
2023-05-24,DIA,DIA,328.01,329.87,327.48,330.61,328.35559183,2859972,6.9773301E-9,0.2759449111
2023-05-25,DIA,DIA,327.75,328.07,325.81,330.6173,327.24968629,3373602,8.8309267E-9,0.2062878976
2023-05-26,DIA,DIA,330.84,328.13,327.6115,331.63,330.55472074,3530116,1.1083705E-8,0.0531091317
2023-05-30,DIA,DIA,330.52,330.8,328.91,331.32,330.0351666,3335899,2.4995197E-9,0.0726969855
2023-05-31,DIA,DIA,329.52,329.43,327.69,330.4908,328.84697067,2953808,2.164717E-9,0.2745768649
2023-06-01,DIA,DIA,330.94,328.94,327.3,332,330.23193847,3039927,3.4511164E-9,0.0935995904
2023-06-02,DIA,DIA,338.07,333.14,331.0423,338.5,336.61821976,5363606,9.9406285E-8,0.1004834629
2023-06-05,DIA,DIA,336.13,338.22,335.94,338.48,337.14563141,3863805,6.7383213E-9,0.1451393382
2023-06-06,DIA,DIA,336.17,336.03,334.47,336.91,335.76271209,2785154,2.2501835E-9,0.154155767
2023-06-07,DIA,DIA,337.17,336.59,335.9,337.52,336.72596557,2690693,1.5406151E-9,0.3455153179
2023-06-08,DIA,DIA,338.81,337.23,336.75,339.26,338.1646123,2613501,4.509718E-9,0.1796847832
